"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2302070,"May 14, 2022",Kentucky,Louisville,"900 block of Euclid Ave",1,0,N/A
2302043,"May 14, 2022",Kansas,Olathe,"14500 W 151st St",1,0,N/A
2301751,"May 14, 2022","New York",Buffalo,"1275 Jefferson Ave",10,3,N/A
2301970,"May 14, 2022",Virginia,Hampton,"1 Howmet Dr",1,0,N/A
2301938,"May 14, 2022",Missouri,Springfield,"313 Boonville Ave",2,1,N/A
2301773,"May 14, 2022",Massachusetts,Boston,"22 Glendale St",1,0,N/A
2301742,"May 14, 2022",Georgia,Macon,"700 block of Harold St",1,0,N/A
2301724,"May 14, 2022",Indiana,"South Bend","S Wellington St and W Jefferson Blvd",2,0,N/A
2301614,"May 14, 2022",Arizona,Goodyear,"Litchfield Rd and Western Ave",1,0,N/A
2301606,"May 14, 2022",Illinois,Skokie,"4700 block of Main St",1,1,N/A
2301586,"May 14, 2022","New York",Bronx,"E 161st St and Grand Concourse",1,0,N/A
2301423,"May 13, 2022",Illinois,Chicago,"6900 block of S Ada St",1,0,N/A
2301420,"May 13, 2022",Virginia,Chesapeake,"900 block of Wintercress Way",2,0,N/A
2301182,"May 13, 2022","New York",Bronx,"Hunts Point Ave and Seneca Ave",1,0,N/A
2301296,"May 13, 2022",Michigan,Detroit,"Lindsay St and Outer Dr W",1,0,N/A
2301229,"May 13, 2022",Wisconsin,Milwaukee,"W Vienna Ave and Vel R Phillips Ave",1,0,N/A
2301217,"May 13, 2022",Maryland,Baltimore,"1700 block of E Lafayette Ave",1,0,N/A
2301176,"May 13, 2022",Maryland,Gambrills,"1130 MD-3 S",1,0,N/A
2301166,"May 13, 2022",Virginia,Alexandria,"2320 Richmond Hwy",1,1,N/A
2301164,"May 13, 2022","North Carolina",Zebulon,"200 block of W Barbee St",1,0,N/A
2301145,"May 13, 2022","District of Columbia",Washington,"3700 block of 14th St NW",1,0,N/A
2302053,"May 13, 2022",Kansas,Pittsburg,"100 block of W 23rd St",1,1,N/A
2301957,"May 13, 2022",Connecticut,Hartford,"302 Bellevue St",1,0,N/A
2301099,"May 13, 2022",California,Oakland,"3000 block of Chestnut St",1,0,N/A
2301118,"May 13, 2022",Ohio,Warren,"473 Maryland Ave NW",1,2,N/A
2301935,"May 13, 2022",Ohio,Toledo,"2509 Lawrence Ave",1,1,N/A
2301077,"May 13, 2022",Georgia,Decatur,"4300 block of Memorial Dr",1,0,N/A
2301431,"May 13, 2022",Kentucky,Lewisburg,"500 block of Heltsley Rd",1,0,N/A
2301416,"May 13, 2022",Colorado,Aurora,"15270 E 6th Ave",2,0,N/A
2301765,"May 13, 2022",Pennsylvania,Philadelphia,"1200 block of S 57th St",1,0,N/A
2301747,"May 13, 2022","South Carolina",North,"McClain St",1,0,N/A
2300989,"May 13, 2022",Nebraska,"Broken Bow","800 block of N 13th St",2,0,N/A
2300849,"May 13, 2022",Texas,Dallas,"Elm St and N Crowdus St",2,3,N/A
2300921,"May 13, 2022",California,Bakersfield,"Niles St and Pesante Rd",1,0,N/A
2300891,"May 13, 2022",Pennsylvania,Philadelphia,"1700 block of Edwin Pl",1,0,N/A
2301663,"May 13, 2022",Arizona,Phoenix,"47th Ave and Thomas Rd",1,0,N/A
2301628,"May 13, 2022",Florida,"West Palm Beach","501 S Sapodilla Ave",1,0,N/A
2301617,"May 13, 2022",Illinois,Chicago,"1200 block of S California Ave",1,1,N/A
2301529,"May 13, 2022",Mississippi,Columbus,"700 block of Waterworks Rd",1,1,N/A
2301525,"May 13, 2022",Louisiana,"New Orleans","France St and N Prieur St",1,0,N/A
2301410,"May 13, 2022",Virginia,Norfolk,"1300 block of Modoc Ave",1,0,N/A
2300737,"May 12, 2022",Virginia,Portsmouth,"100 block of Shea St",1,0,N/A
2300377,"May 12, 2022",Florida,Hollywood,"2200 block of Filmore St",2,0,N/A
2300607,"May 12, 2022",Virginia,Suffolk,"100 block of Forest Oak Ln",1,0,N/A
2301392,"May 12, 2022","New Mexico",Albuquerque,"5201 Central Ave NE",1,0,N/A
2300761,"May 12, 2022",Virginia,Chester,"15100 block of Timsberry Cir",1,1,N/A
2300496,"May 12, 2022",Tennessee,Nashville,"800 block of W Sharpe Ave",1,0,N/A
2300527,"May 12, 2022",Virginia,Portsmouth,"1600 block of Cavalier Blvd",1,0,N/A
2300455,"May 12, 2022",Tennessee,Memphis,"1531 Poplar Ave",1,0,N/A
2300613,"May 12, 2022",Maryland,Baltimore,"300 block of 23rd St",2,0,N/A
2300258,"May 12, 2022",Texas,Banquete,"5400 block of Gladys St",1,0,N/A
2300718,"May 12, 2022",Texas,Houston,"3900 block of Summit Valley Dr",1,0,N/A
2301136,"May 12, 2022",Texas,Houston,"14000 block of East Fwy",1,0,N/A
2300807,"May 12, 2022","North Carolina",Charlotte,"3600 block of Avalon Ave",1,0,N/A
2300416,"May 12, 2022",Missouri,"Kansas City","E 34th St and Forest Ave",1,0,N/A
2301097,"May 12, 2022",California,Oakland,"3600 block of Foothill Blvd",1,0,N/A
2301036,"May 12, 2022",Georgia,Atlanta,"1138 5th St NW",1,0,N/A
2300713,"May 12, 2022",Arkansas,"Hot Springs National Park (Hot Springs)","134 Convention Blvd",1,4,N/A
2300943,"May 12, 2022",Indiana,"Eaton (Niles)","1615 N 5th St",1,0,N/A
2300292,"May 12, 2022",California,Corona,"1300 block of Circle City Dr",1,2,N/A
2300982,"May 12, 2022",Florida,Groveland,"207 Groveland Farms Rd",1,0,N/A
2300409,"May 12, 2022",Florida,Titusville,"Dawn Dr and Lakeview Hills Ave",2,0,N/A
2301309,"May 12, 2022",Ohio,Akron,"800 block of McKinley Ave",1,0,N/A
2300951,"May 12, 2022",Indiana,"South Bend","1200 block of Huey St",1,0,N/A
2300900,"May 12, 2022",Pennsylvania,Philadelphia,"400 block of W Sedgley Ave",1,0,N/A
2301669,"May 12, 2022",Arizona,"Lake Havasu City","3400 block of Big Chief Dr",1,0,N/A
2300163,"May 12, 2022",Illinois,Chicago,"4100 block of S Wells St",1,0,N/A
2300869,"May 12, 2022",Illinois,Chicago,"200 block of S Hoyne Ave",1,0,N/A
2300865,"May 12, 2022",Illinois,Chicago,"2900 block of W 45th St",1,1,N/A
2300812,"May 12, 2022","North Carolina",Statesville,"200 block of E Front St",1,0,N/A
2300662,"May 12, 2022",Tennessee,Memphis,"572 Gilleas Rd",1,1,N/A
2299973,"May 12, 2022",Texas,Pharr,"407 N Jackson Rd",1,0,N/A
2300525,"May 11, 2022",Virginia,Norfolk,"5400 block of Greenplain Rd",1,0,N/A
2300533,"May 11, 2022",Ohio,Toledo,"1300 block of Fitchland Ave",1,0,N/A
2299481,"May 11, 2022",Michigan,Detroit,"8800 block of Burnette St",1,0,N/A
2300237,"May 11, 2022",Missouri,"Oak Ridge","State Hwy D and Co Rd 454",1,0,N/A
2299975,"May 11, 2022",Wisconsin,Milwaukee,"W Olive St and N 20th St",1,0,N/A
2299575,"May 11, 2022",Tennessee,Nashville,"6501 Harding Pike",1,0,N/A
2299964,"May 11, 2022",Wisconsin,Milwaukee,"4400 block of W Lisbon Ave",1,0,N/A
2299430,"May 11, 2022",Wisconsin,Milwaukee,"2485 S 5th Pl",1,0,N/A
2299596,"May 11, 2022",Georgia,Atlanta,"2260 Campbellton Rd SW",1,0,N/A
2299883,"May 11, 2022","District of Columbia",Washington,"1200 block of Brentwood Avenue NE",1,0,N/A
2299161,"May 11, 2022",Pennsylvania,Philadelphia,"5200 block of Bingham St",1,0,N/A
2299793,"May 11, 2022",Missouri,"Saint Louis","5000 block of N Kingshighway Blvd",1,3,N/A
2300224,"May 11, 2022",Texas,Austin,"E 17th St and Maple Ave",1,0,N/A
2301955,"May 11, 2022",Missouri,Ulman,N/A,1,0,N/A
2299868,"May 11, 2022",Maryland,Germantown,"19600 Crystal Rock Dr",2,0,N/A
2299307,"May 11, 2022","New Mexico",Albuquerque,"800 block of Cardenas Dr",1,0,N/A
2300504,"May 11, 2022",Ohio,Columbus,"422 Johnson St",1,0,N/A
2300419,"May 11, 2022",Florida,Melbourne,"653 E University Blvd",1,0,N/A
2300263,"May 11, 2022",Pennsylvania,Washington,"219 Ridge Ave",1,0,N/A
2299231,"May 11, 2022",Ohio,Cleveland,"E 64th St and Collier Ave",1,0,N/A
2299225,"May 11, 2022",Ohio,Cleveland,"Woodhill Rd and Parkview Ave",1,0,N/A
2300893,"May 11, 2022","New Mexico",Clovis,"900 block of Edwards St",1,0,N/A
2300226,"May 11, 2022",Texas,Austin,"1700 block of Frontier Valley Dr",1,0,N/A
2300213,"May 11, 2022",Pennsylvania,Philadelphia,"1800 block of N 28th St",1,0,N/A
2299197,"May 11, 2022",Arizona,Tucson,"10 W Fort Lowell Rd",1,0,N/A
2299725,"May 11, 2022",California,"Van Nuys","Ranchito Ave and Oxnard St",1,0,N/A
2300188,"May 11, 2022",Illinois,Geneva,"700 block of McKinley Ave",1,0,N/A
2300185,"May 11, 2022",Texas,"Fort Worth","2108 E Lancaster Ave",1,1,N/A
2299833,"May 11, 2022",Illinois,Chicago,"7500 block of S Wolcott Ave",1,0,N/A
2300115,"May 11, 2022",Pennsylvania,Philadelphia,"2200 block of S 6th St",1,0,N/A
2300830,"May 11, 2022","New Jersey",Paterson,"36 Essex St",1,4,N/A
2300083,"May 11, 2022",Louisiana,"New Iberia","700 block of Providence St",1,0,N/A
2300070,"May 11, 2022",Louisiana,"Belle Chasse","LA-23 and W Ravenna Rd",1,0,N/A
2300193,"May 11, 2022",Texas,Waco,"3501 Alta Vista Dr",1,0,N/A
2301490,"May 11, 2022","New Jersey",Irvington,"558 Grove St",1,0,N/A
2299804,"May 11, 2022",Missouri,"Saint Louis","Bircher Blvd and Amelia Ave",1,0,N/A
2299571,"May 10, 2022",Illinois,Romeoville,"275 S Weber Rd",1,0,N/A
2299929,"May 10, 2022",Alabama,Mobile,"2900 block of Steadham Dr",1,0,N/A
2299111,"May 10, 2022","North Carolina",Raleigh,"1830 New Bern Ave",1,0,N/A
2299010,"May 10, 2022","District of Columbia",Washington,"2600 Stanton Rd SE",1,0,N/A
2299004,"May 10, 2022","District of Columbia",Washington,"118 Galveston St SW",1,1,N/A
2298701,"May 10, 2022","North Carolina","High Point","2710 N Main St",1,0,N/A
2301095,"May 10, 2022",Tennessee,Prospect,"2500 block of Nancy Green Ridge Rd",1,0,N/A
2298817,"May 10, 2022",Texas,"San Antonio","5125 War Horse Dr",1,0,N/A
2298777,"May 10, 2022",Connecticut,Hartford,"300 block of Zion St",1,0,N/A
2298751,"May 10, 2022",Connecticut,Hamden,"4340 Farmington Canal Heritage Trl",1,0,N/A
2298727,"May 10, 2022",Texas,Houston,"5900 block of S Gessner Rd",1,0,N/A
2298796,"May 10, 2022","New York",Binghamton,"Floral Ave",1,0,N/A
2298712,"May 10, 2022",Texas,Houston,"3755 N MacGregor Way",1,0,N/A
2299060,"May 10, 2022","South Carolina",Greenville,"Gordon St",1,0,N/A
2300493,"May 10, 2022",Ohio,Lorain,"1000 block of W 45th Pl",1,1,N/A
2299291,"May 10, 2022",Texas,Katy,"612 Pederson Rd",1,0,N/A
2299334,"May 10, 2022",Wisconsin,"Milwaukee (Glendale)","1541 W Custer Ave",1,1,N/A
