Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2307574,20-May-22,Minnesota,Saint Paul,Sherburne Ave and N Mackubin St,1,0,N/A,44.951483,-93.090649,1,place,,,,,Saint Paul,MN,Ramsey County,55101,US,TIGER/Line® dataset from the US Census Bureau
2307567,20-May-22,Georgia,Clarkston,1500 Post Oak Dr,1,0,N/A,33.822324,-84.231071,0.7,street_center,,Post Oak Dr,,,Clarkston,GA,Dekalb County,30021,US,TIGER/Line® dataset from the US Census Bureau
2307564,20-May-22,Ohio,Milford,947 OH-28B,1,0,N/A,39.17534,-84.29438,0.5,place,,,,,Milford,OH,Clermont County,45150,US,TIGER/Line® dataset from the US Census Bureau
2307549,20-May-22,Tennessee,Chattanooga,3600 block of 13th Ave,1,0,N/A,35.040538,-85.241268,0.7,street_center,,Block St,,,Chattanooga,TN,Hamilton County,37411,US,TIGER/Line® dataset from the US Census Bureau
2307503,20-May-22,Pennsylvania,York,2140 York Crossing Dr,1,3,N/A,39.965431,-76.776281,1,range_interpolation,2140,York Crossing Dr,,,York,PA,York County,17408,US,TIGER/Line® dataset from the US Census Bureau
2307455,20-May-22,Massachusetts,Lynn,23 Mudge St,2,0,N/A,42.476761,-70.927168,1,rooftop,23,Mudge St,,,Lynn,MA,Essex County,1902,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
2307420,20-May-22,Florida,Pompano Beach,Powerline Rd and Sample Rd,1,0,N/A,26.276142,-80.152062,0.63,intersection,,N Powerline Rd,,,Pompano Beach,FL,Broward County,33073,US,TIGER/Line® dataset from the US Census Bureau
2307410,20-May-22,Pennsylvania,Mckeesport (White Oak),Union Ave,1,0,N/A,40.350771,-79.854867,0.9,street_center,,Union Ave,,,Mc Keesport,PA,Allegheny County,15132,US,TIGER/Line® dataset from the US Census Bureau
2307395,20-May-22,California,Oakley,200 block of W Cypress Rd,1,0,N/A,33.81696,-118.03729,0.5,place,,,,,Cypress,CA,Orange County,90630,US,TIGER/Line® dataset from the US Census Bureau
2307340,20-May-22,Texas,Houston,3400 block of Tuam St,1,0,N/A,29.813142,-95.309789,0.5,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
