Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321772,6/5/2022,Michigan,Saginaw,300 block of S 11th St,3,2,N/A,43.333795,-83.718362,0.9,range_interpolation,300,Block Rd,,,Frankenmuth,MI,Saginaw County,48734,US,TIGER/Line® dataset from the US Census Bureau
2321693,6/5/2022,Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3,N/A,42.966376,-85.670136,1,intersection,,Ottawa Ave NW,,,Grand Rapids,MI,Kent County,49503,US,TIGER/Line® dataset from the US Census Bureau
2321532,6/5/2022,Tennessee,Chattanooga,2125 McCallie Ave,2,12,N/A,35.034718,-85.27066,1,rooftop,2125,McCallie Ave,,,Chattanooga,TN,Hamilton County,37404,US,City of Chattanooga
2321440,6/5/2022,Arizona,Mesa,1457 W Southern Ave,2,2,N/A,33.392764,-111.862547,1,rooftop,1457,W Southern Ave,,,Mesa,AZ,Maricopa County,85202,US,City of Mesa
2321193,6/4/2022,Michigan,Ecorse,3800 block of W Jefferson Ave,0,4,N/A,42.249838,-83.143121,0.5,place,,,,,Ecorse,MI,Wayne County,48229,US,TIGER/Line® dataset from the US Census Bureau
2321698,6/4/2022,New York,Hempstead,77 Terrace Ave,1,3,N/A,40.710272,-73.630634,1,rooftop,77,Terrace Ave,,,Hempstead,NY,Nassau County,11550,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
2321593,6/4/2022,South Carolina,Summerton,US-15 and St Paul Rd,1,7,N/A,33.55156,-80.322756,0.5,place,,,,,Summerton,SC,Clarendon County,29148,US,TIGER/Line® dataset from the US Census Bureau
2321266,6/4/2022,Pennsylvania,Philadelphia,200 block of South St,3,12,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2321500,6/4/2022,Georgia,Macon,300 Block of Jones Ave,1,3,N/A,32.804382,-83.617554,0.5,place,,,,,Macon,GA,Bibb County,31201,US,TIGER/Line® dataset from the US Census Bureau
2320673,6/4/2022,Texas,El Paso (Socorro),10851 Thunder Rd,0,5,N/A,31.658279,-106.252436,1,range_interpolation,10851,Thunder Rd,,,El Paso,TX,El Paso County,79927,US,TIGER/Line® dataset from the US Census Bureau
2320618,6/4/2022,Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8,N/A,33.571363,-112.060347,0.8,intersection,,E Hatcher Rd,,,Phoenix,AZ,Maricopa County,85020,US,TIGER/Line® dataset from the US Census Bureau
2320361,6/3/2022,Virginia,Chester,10960 block of Stepney Rd,1,5,N/A,37.374976,-77.431044,0.9,range_interpolation,10960,Stepney Rd,,,Chester,VA,Chesterfield County,23831,US,TIGER/Line® dataset from the US Census Bureau
2320862,6/3/2022,Nebraska,Omaha,S 30th St and T St,1,3,N/A,41.202514,-95.957717,0.87,intersection,,S 30th St,,,Omaha,NE,Douglas County,68107,US,TIGER/Line® dataset from the US Census Bureau
2318310,6/1/2022,Oklahoma,Tulsa,6161 S Yale Ave,5,0,N/A,36.072814,-95.917624,1,rooftop,6161,S Yale Ave,,,Tulsa,OK,Tulsa County,74136,US,Tulsa
2318046,5/31/2022,Texas,Waco,1900 block of Preston St,0,4,N/A,31.522433,-97.139202,1,rooftop,1900,St,,,Waco,TX,McLennan County,76711,US,Statewide TX
2317016,5/30/2022,South Carolina,Charleston,America St and South St,0,10,N/A,32.797366,-79.936622,1,street_center,,America St,,,Charleston,SC,Charleston County,29403,US,TIGER/Line® dataset from the US Census Bureau
2316616,5/30/2022,Michigan,Benton Harbor,999 Pipestone St,1,6,N/A,42.099943,-86.437914,1,range_interpolation,999,Pipestone St,,,Benton Harbor,MI,Berrien County,49022,US,TIGER/Line® dataset from the US Census Bureau
2315903,5/30/2022,Pennsylvania,Philadelphia,N Delaware Ave and E Tioga St,2,2,N/A,39.985487,-75.093384,0.78,intersection,,E Tioga St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
2315150,5/29/2022,Oklahoma,Taft,104 Elm St,1,7,N/A,35.823079,-95.674371,0.86,range_interpolation,104,Elm,,,Haskell,OK,Muskogee County,74436,US,TIGER/Line® dataset from the US Census Bureau
2315333,5/29/2022,California,Merced,Cowden Ave,1,3,N/A,37.326945,-120.533496,1,street_center,,Cowden Ave,,,Merced,CA,Merced County,95348,US,TIGER/Line® dataset from the US Census Bureau
2316364,5/29/2022,Texas,Houston,11654 Walnut Dale Ct,0,4,N/A,29.902831,-95.462356,1,rooftop,11654,Walnut Dale Ct,,,Houston,TX,Harris County,77038,US,Greater Houston
2315892,5/29/2022,Illinois,Chicago,4400 block of W Walton St,1,4,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2315605,5/29/2022,Arizona,Phoenix,N 58th St and W Windsor Ave,1,5,N/A,33.477703,-112.18388,0.8,intersection,,N 58th Ave,,,Phoenix,AZ,Maricopa County,85035,US,TIGER/Line® dataset from the US Census Bureau
2315361,5/29/2022,Nevada,Henderson,I-11 and Horizon Dr,0,7,N/A,35.927901,-114.972061,0.5,place,,,,,Henderson,NV,Clark County,89009,US,TIGER/Line® dataset from the US Census Bureau
2315074,5/29/2022,Illinois,Chicago,800 block of S Karlov Ave,0,5,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2314991,5/28/2022,Tennessee,Chattanooga,100 block of Cherry St,0,6,N/A,35.040538,-85.241268,0.7,street_center,,Block St,,,Chattanooga,TN,Hamilton County,37411,US,TIGER/Line® dataset from the US Census Bureau
2315338,5/28/2022,California,Fresno,2233 N 1st St,1,3,N/A,36.77068,-119.773874,1,rooftop,2233,N 1st St,,,Fresno,CA,Fresno County,93703,US,Fresno
2315417,5/28/2022,Florida,Malabar,2500 block of Billie Ln,0,4,N/A,28.00363,-80.56561,0.5,place,,,,,Malabar,FL,Brevard County,32950,US,TIGER/Line® dataset from the US Census Bureau
2315190,5/28/2022,Colorado,Colorado Springs,3800 block of E Pikes Pike Ave,1,3,N/A,38.828893,-104.809929,0.5,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
2314951,5/28/2022,Tennessee,Memphis,Chelsea Ave and Peres Ave,0,4,N/A,35.174756,-89.979787,0.93,intersection,,Chelsea Ave,,,Memphis,TN,Shelby County,38108,US,TIGER/Line® dataset from the US Census Bureau
2313988,5/27/2022,Alabama,Anniston,1204 Front St,0,6,N/A,33.633344,-85.830931,1,rooftop,1204,Front St,,,Anniston,AL,Calhoun County,36201,US,Calhoun
2313970,5/27/2022,Michigan,Stanwood,10711 185th Ave,4,1,N/A,43.623706,-85.453398,1,range_interpolation,10711,185th Ave,,,Stanwood,MI,Mecosta County,49346,US,TIGER/Line® dataset from the US Census Bureau
2312678,5/25/2022,Pennsylvania,Philadelphia,3500 block of Fairmount Ave,0,4,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2310278,5/24/2022,Texas,Uvalde,715 Old Carrizo Rd,22,17,N/A,29.199261,-99.787959,1,rooftop,715,Old Carrizo Rd,,,Uvalde,TX,Uvalde County,78801,US,Statewide TX
2309711,5/23/2022,South Carolina,North Charleston,7550 Dorchester Rd,0,5,N/A,32.90294,-80.080098,1,range_interpolation,7550,Dorchester Rd,,,North Charleston,SC,Charleston County,29418,US,TIGER/Line® dataset from the US Census Bureau
2311123,5/23/2022,Ohio,Cleveland,1032 Hartley Rd,0,5,N/A,41.551286,-81.574965,1,rooftop,1032,Hartley Rd,,,Cleveland,OH,Cuyahoga County,44110,US,Cuyahoga
2308096,5/21/2022,Indiana,Goshen,1204 Rosemare Ct,2,3,N/A,41.549107,-85.81183,1,range_interpolation,1204,Rosemare Ct,,,Goshen,IN,Elkhart County,46526,US,TIGER/Line® dataset from the US Census Bureau
2308395,5/21/2022,Washington,Tacoma,S Yakima Ave and S 56th St,0,4,N/A,47.206416,-122.44321,1,intersection,,S 56th St,,,Tacoma,WA,Pierce County,98408,US,TIGER/Line® dataset from the US Census Bureau
2307631,5/20/2022,Florida,Kissimmee,2331 Old Dixie Hwy,1,3,N/A,28.31289,-81.401983,1,rooftop,2331,Old Dixie Hwy,,,Kissimmee,FL,Osceola County,34744,US,Osceola
2308017,5/20/2022,California,Highland,3606 Highland Ave,1,8,N/A,34.135929,-117.21187,1,range_interpolation,3606,Highland Ave,,,Highland,CA,San Bernardino County,92346,US,TIGER/Line® dataset from the US Census Bureau
2307813,5/20/2022,Louisiana,New Orleans,St. Claude Ave and Forstall St,1,3,N/A,29.958304,-90.077,0.5,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau
2307044,5/19/2022,Illinois,Chicago,800 block of N State St,2,7,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
