Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,population,rateKill
2321879,5-Jun-22,Minnesota,Minneapolis,1382 Willow St,1,0,N/A,44.968942,-93.282764,1,rooftop,1382,Willow St,,,Minneapolis,MN,Hennepin County,55403,US,Hennepin,1724,0.058
2321873,5-Jun-22,Texas,San Antonio,4300 block of Bloomdale,1,0,N/A,29.488468,-98.408361,1,range_interpolation,4300,Bloomdale Dr,,,San Antonio,TX,Bexar County,78218,US,TIGER/Line® dataset from the US Census Bureau,1753,0.057
2321772,5-Jun-22,Michigan,Saginaw,300 block of S 11th St,3,2,N/A,43.333795,-83.718362,0.9,range_interpolation,300,Block Rd,,,Frankenmuth,MI,Saginaw County,48734,US,TIGER/Line® dataset from the US Census Bureau,1182,0.254
2321639,5-Jun-22,Illinois,Decatur,1100 block of E Condit St,1,0,N/A,39.839477,-88.946486,0.5,place,,,,,Decatur,IL,Macon County,62521,US,TIGER/Line® dataset from the US Census Bureau,,
2321629,5-Jun-22,Illinois,Decatur,300 block of E Center St,1,1,N/A,39.839477,-88.946486,0.5,place,,,,,Decatur,IL,Macon County,62521,US,TIGER/Line® dataset from the US Census Bureau,,
2321693,5-Jun-22,Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3,N/A,42.966376,-85.670136,1,intersection,,Ottawa Ave NW,,,Grand Rapids,MI,Kent County,49503,US,TIGER/Line® dataset from the US Census Bureau,,
2321769,5-Jun-22,California,San Jose,1500 block of Hamilton Ave,1,0,N/A,37.346608,-121.909871,0.5,place,,,,,San Jose,CA,Santa Clara County,95110,US,TIGER/Line® dataset from the US Census Bureau,,
2321761,5-Jun-22,Kentucky,Franklin,Patton Rd,2,0,N/A,36.747563,-86.58615,1,street_center,,Patton Rd,,,Franklin,KY,Simpson County,42134,US,TIGER/Line® dataset from the US Census Bureau,1659,0.121
2321737,5-Jun-22,Tennessee,Memphis,7833 Stellar Ln,2,0,N/A,35.019562,-89.802511,1,rooftop,7833,Stellar Ln,,,Memphis,TN,Shelby County,38125,US,City of Memphis,3955,0.051
2321685,5-Jun-22,New York,New City,South 14th Ave,2,0,N/A,41.149494,-73.98827,1,place,,,,,New City,NY,Rockland County,10956,US,TIGER/Line® dataset from the US Census Bureau,,
2321673,5-Jun-22,New York,Bronx,975 E Tremont Ave,1,0,N/A,40.841231,-73.882306,1,rooftop,975,E Tremont Ave,,,Bronx,NY,Bronx County,10460,US,City of New York,1304,0.077
2321666,5-Jun-22,Illinois,Wheeling,Lakeview Dr and N Buffalo Grove Rd,2,0,N/A,42.126224,-87.961016,0.67,intersection,,Old Buffalo Grove Rd,,,Wheeling,IL,Cook County,60090,US,TIGER/Line® dataset from the US Census Bureau,,
