Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321871,6/5/2022,Texas,San Antonio,Timber Wolf St and Stoney Creek Dr,0,1,N/A,29.342889,-98.613571,0.9,intersection,,Stoney Creek Dr,,,San Antonio,TX,Bexar County,78242,US,TIGER/Line® dataset from the US Census Bureau
2321772,6/5/2022,Michigan,Saginaw,300 block of S 11th St,3,2,N/A,43.333795,-83.718362,0.9,range_interpolation,300,Block Rd,,,Frankenmuth,MI,Saginaw County,48734,US,TIGER/Line® dataset from the US Census Bureau
2321629,6/5/2022,Illinois,Decatur,300 block of E Center St,1,1,N/A,39.839477,-88.946486,0.5,place,,,,,Decatur,IL,Macon County,62521,US,TIGER/Line® dataset from the US Census Bureau
2321797,6/5/2022,Texas,Dallas,3606 Greenville Ave,0,2,N/A,32.831929,-96.769847,1,rooftop,3606,Greenville Ave,,,Dallas,TX,Dallas County,75206,US,Dallas
2321693,6/5/2022,Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3,N/A,42.966376,-85.670136,1,intersection,,Ottawa Ave NW,,,Grand Rapids,MI,Kent County,49503,US,TIGER/Line® dataset from the US Census Bureau
2321804,6/5/2022,Texas,Wylie,2900 block of Jamestown Dr,0,1,N/A,32.416198,-99.770742,0.8,nearest_rooftop_match,2901,Southwest Dr,,,Abilene,TX,Taylor County,79605,US,City of Abilene
2321764,6/5/2022,North Carolina,Durham,3724 Angier Ave,0,3,N/A,35.953647,-78.85127,1,rooftop,3724,Angier Ave,,,Durham,NC,Durham County,27703,US,Durham
2321740,6/5/2022,Tennessee,Memphis,1200 Block of Perkins Terrace,0,1,N/A,35.050667,-89.847782,0.5,place,,,,,Memphis,TN,Shelby County,38101,US,TIGER/Line® dataset from the US Census Bureau
2321734,6/5/2022,North Carolina,Greensboro,N/A,0,2,N/A,36.069144,-79.765156,1,place,,,,,Greensboro,NC,Guilford County,27401,US,TIGER/Line® dataset from the US Census Bureau
2321720,6/5/2022,Colorado,Aurora,1470 N Jamaica St,0,1,N/A,39.739512,-104.861971,1,rooftop,1470,N Jamaica St,,,Aurora,CO,Arapahoe County,80010,US,City of Aurora
2321712,6/5/2022,Illinois,Carbondale,200 block of W Main St,0,2,N/A,37.739004,-89.209109,0.5,place,,,,,Carbondale,IL,Jackson County,62901,US,TIGER/Line® dataset from the US Census Bureau
2321675,6/5/2022,Illinois,Chicago,S Loomis Blvd and W Garfield Blvd,0,1,N/A,41.793732,-87.65972,1,intersection,,S Loomis Blvd,,,Chicago,IL,Cook County,60636,US,TIGER/Line® dataset from the US Census Bureau
2321633,6/5/2022,Illinois,Springfield,1400 block of S 5th St,0,2,N/A,39.822159,-89.6398,0.6,street_center,,E Black Ave,,,Springfield,IL,Sangamon County,62702,US,TIGER/Line® dataset from the US Census Bureau
2321620,6/5/2022,Georgia,Atlanta,66 5th St,0,1,N/A,33.676812,-84.42874,1,range_interpolation,66,5th St,,,Atlanta,GA,Fulton County,30308,US,TIGER/Line® dataset from the US Census Bureau
2321532,6/5/2022,Tennessee,Chattanooga,2125 McCallie Ave,2,12,N/A,35.034718,-85.27066,1,rooftop,2125,McCallie Ave,,,Chattanooga,TN,Hamilton County,37404,US,City of Chattanooga
2321513,6/5/2022,Georgia,Atlanta,2500 Center St NW,0,2,N/A,33.791084,-84.472661,1,rooftop,2500,Center St NW,,,Atlanta,GA,Fulton County,30318,US,City of Atlanta
2321511,6/5/2022,New Jersey,Paterson,Montgomery St and Summer St,0,1,N/A,40.92494,-74.163455,1,intersection,,Montgomery St,,,Paterson,NJ,Passaic County,7501,US,TIGER/Line® dataset from the US Census Bureau
2321497,6/5/2022,Missouri,Columbia,29 S 10th St,0,2,N/A,38.950627,-92.326668,1,rooftop,29,S 10th St,,,Columbia,MO,Boone County,65201,US,Boone
2321440,6/5/2022,Arizona,Mesa,1457 W Southern Ave,2,2,N/A,33.392764,-111.862547,1,rooftop,1457,W Southern Ave,,,Mesa,AZ,Maricopa County,85202,US,City of Mesa
2321438,6/5/2022,Illinois,Chicago,3500 block of W 38th Pl,0,1,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2321226,6/4/2022,Minnesota,Saint Paul,Arundel St and Aurora Ave,0,1,N/A,44.954889,-93.118687,0.71,intersection,,Aurora Ave,,,Saint Paul,MN,Ramsey County,55103,US,TIGER/Line® dataset from the US Census Bureau
2321193,6/4/2022,Michigan,Ecorse,3800 block of W Jefferson Ave,0,4,N/A,42.249838,-83.143121,0.5,place,,,,,Ecorse,MI,Wayne County,48229,US,TIGER/Line® dataset from the US Census Bureau
2321179,6/4/2022,Virginia,Norfolk,3300 block of E Princess Anne Rd,0,1,N/A,36.895911,-76.208521,0.5,place,,,,,Norfolk,VA,Norfolk City,23501,US,TIGER/Line® dataset from the US Census Bureau
